Country,risk_score_5y,risk_score_10y,risk_category,risk_category_pred
Mozambique,0.432566,0.49961,low,medium
Myanmar,0.428617,0.493862,low,medium
Namibia,0.430889,0.497209,low,medium
Nauru,0.432583,0.499614,low,medium
Nepal,0.484222,0.603699,medium,high
Netherlands,0.432483,0.499589,low,medium
Netherlands Antilles,0.432566,0.49961,low,medium
New Caledonia,0.432566,0.49961,low,medium
New Zealand,0.432566,0.49961,low,medium
Nicaragua,0.43574,0.505281,low,medium
Niger,0.434532,0.504395,low,medium
Nigeria,0.485365,0.605808,medium,high
Niue,0.432566,0.49961,low,medium
Norfolk Island,0.432566,0.49961,low,medium
Northern Mariana Is.,0.432566,0.49961,low,medium
Norway,0.432555,0.49961,low,medium
Oman,0.432566,0.49961,low,medium
Pakistan,0.432566,0.49961,low,medium
Palau,0.432566,0.49961,low,medium
"Palestine, Occupied Tr.",0.432566,0.49961,low,medium
Panama,0.432566,0.49961,low,medium
Papua New Guinea,0.431719,0.498473,low,medium
Paraguay,0.432566,0.49961,low,medium
Peru,0.432524,0.499605,low,medium
Philippines,0.416259,0.477798,low,medium
Pitcairn Islands,0.432566,0.49961,low,medium
Poland,0.432567,0.49961,low,medium
Portugal,0.432567,0.49961,low,medium
Puerto Rico,0.433401,0.499935,low,medium
Qatar,0.432566,0.49961,low,medium
Romania,0.432594,0.499576,low,medium
Russian Federation,0.469845,0.575907,medium,medium
Rwanda,0.432566,0.49961,low,medium
Réunion,0.43255,0.499611,low,medium
SMR,0.432566,0.49961,low,medium
SSD,0.432566,0.49961,low,medium
SXM,0.432566,0.49961,low,medium
Saint Helena,0.432526,0.4996,low,medium
Saint Kitts and Nevis,0.5,0.5,medium,medium
Saint Lucia,0.432566,0.49961,low,medium
Saint Vincent/Grenadines,0.432566,0.49961,low,medium
Samoa,0.432566,0.49961,low,medium
Sao Tome and Principe,0.432566,0.49961,low,medium
Saudi Arabia,0.480039,0.5957,medium,medium
Senegal,0.432356,0.499468,low,medium
Serbia,0.432566,0.49961,low,medium
Serbia and Montenegro,0.432566,0.49961,low,medium
Seychelles,0.432566,0.49961,low,medium
Sierra Leone,0.432566,0.49961,low,medium
Singapore,0.470721,0.561499,medium,medium
Slovakia,0.434018,0.501798,low,medium
Slovenia,0.432566,0.49961,low,medium
Solomon Islands,0.432683,0.499648,low,medium
Somalia,0.432566,0.49961,low,medium
South Africa,0.432566,0.49961,low,medium
Spain,0.432566,0.49961,low,medium
Sri Lanka,0.473242,0.582553,medium,medium
St. Pierre and Miquelon,0.432566,0.49961,low,medium
Sudan,0.432566,0.49961,low,medium
Suriname,0.43235,0.499961,low,medium
Svalbard and Jan Mayen,0.432566,0.49961,low,medium
Swaziland,0.42942,0.495341,low,medium
Sweden,0.432566,0.49961,low,medium
Switzerland,0.432423,0.499572,low,medium
Syrian Arab Republic,0.432565,0.499604,low,medium
Taiwan Province of China,0.432566,0.49961,low,medium
Tajikistan,0.432564,0.499611,low,medium
"Tanzania, United Rep. of",0.432566,0.49961,low,medium
Thailand,0.432564,0.49961,low,medium
Timor-Leste,0.432566,0.49961,low,medium
Togo,0.432584,0.499614,low,medium
Tokelau,0.432566,0.49961,low,medium
Tonga,0.432566,0.49961,low,medium
Trinidad and Tobago,0.432559,0.499608,low,medium
Tunisia,0.455728,0.547786,medium,medium
Turkey,0.432566,0.49961,low,medium
Turkmenistan,0.434143,0.497433,low,medium
Turks and Caicos Is.,0.442847,0.514793,low,medium
Tuvalu,0.416423,0.529924,low,medium
US Virgin Islands,0.432566,0.49961,low,medium
Uganda,0.435527,0.504222,low,medium
Ukraine,0.432566,0.49961,low,medium
Un. Sov. Soc. Rep.,0.432566,0.49961,low,medium
United Arab Emirates,0.432566,0.49961,low,medium
United Kingdom,0.432568,0.49961,low,medium
United States of America,0.432566,0.49961,low,medium
Uruguay,0.432569,0.499621,low,medium
Uzbekistan,0.434836,0.500197,low,medium
Vanuatu,0.432566,0.49961,low,medium
"Venezuela, Boliv Rep of",0.432566,0.49961,low,medium
Viet Nam,0.42868,0.517212,low,medium
Wallis and Futuna Is.,0.432566,0.49961,low,medium
Western Sahara,0.432566,0.49961,low,medium
Yemen,0.432263,0.499523,low,medium
Yugoslavia SFR,0.432566,0.49961,low,medium
Zambia,0.432566,0.49961,low,medium
Zanzibar,0.432566,0.49961,low,medium
Zimbabwe,0.472997,0.582072,medium,high
