Country,Year,OFR_forecast,PriceIndex_forecast
Afghanistan,2019,10145.588235294117,1193.540365921365
Afghanistan,2020,10291.176470588236,1202.1658492578285
Afghanistan,2021,10436.764705882353,1210.7913325942923
Afghanistan,2022,10582.35294117647,1219.4168159307558
Afghanistan,2023,10727.941176470587,1228.0422992672193
Afghanistan,2024,10873.529411764706,1236.667782603683
Afghanistan,2025,11019.117647058823,1245.2932659401467
Albania,2019,1006.8088235294119,575.9456342580519
Albania,2020,1019.950980392157,579.7293186405536
Albania,2021,1033.093137254902,583.5130030230555
Albania,2022,1046.2352941176473,587.2966874055572
Albania,2023,1059.3774509803923,591.0803717880591
Albania,2024,1072.5196078431375,594.8640561705608
Albania,2025,1085.6617647058827,598.6477405530627
Algeria,2019,429.03975436328375,3255.8709224034956
Algeria,2020,433.80844645550525,3274.066221957061
Algeria,2021,438.57713854772675,3292.261521510626
Algeria,2022,443.34583063994825,3310.4568210641924
Algeria,2023,448.11452273216975,3328.6521206177576
Algeria,2024,452.88321482439125,3346.847420171323
Algeria,2025,457.6519069166128,3365.0427197248882
American Samoa,2019,3083.6911764705883,402.3543970457806
American Samoa,2020,3128.3823529411766,405.2912904548739
American Samoa,2021,3173.073529411765,408.22818386396716
American Samoa,2022,3217.764705882353,411.16507727306055
American Samoa,2023,3262.455882352941,414.10197068215376
American Samoa,2024,3307.1470588235293,417.0388640912471
American Samoa,2025,3351.8382352941176,419.97575750034036
Andorra,2019,0.0,0.0
Andorra,2020,0.0,0.0
Andorra,2021,0.0,0.0
Andorra,2022,0.0,0.0
Andorra,2023,0.0,0.0
Andorra,2024,0.0,0.0
Andorra,2025,0.0,0.0
Angola,2019,322.19070106490875,289.4266542487842
Angola,2020,325.410856152806,290.88026473686693
Angola,2021,328.6310112407032,292.33387522494957
Angola,2022,331.8511663286004,293.7874857130322
Angola,2023,335.07132141649765,295.24109620111483
Angola,2024,338.2914765043949,296.6947066891976
Angola,2025,341.51163159229213,298.1483171772802
Anguilla,2019,769.1470588235294,402.3543970457806
Anguilla,2020,780.2941176470588,405.2912904548739
Anguilla,2021,791.4411764705883,408.2281838639673
Anguilla,2022,802.5882352941177,411.16507727306055
Anguilla,2023,813.7352941176471,414.1019706821538
Anguilla,2024,824.8823529411765,417.0388640912471
Anguilla,2025,836.0294117647059,419.97575750034036
Antigua and Barbuda,2019,3220.220588235294,908.579190088365
